ID,IntRate,LoanAmt,LoanTerm,Debt2Inc,Home__MORT,Home__OWN,Home__RENT,MonthlyInc,RevCredBal,FICO,EmpLen
81174,8.9,20000,0,14.9,1,0,0,6541.67,14272.0,737,0
99592,12.12,19200,0,28.36,1,0,0,4583.33,11140.0,717,2
80059,21.98,35000,1,23.81,1,0,0,11500.0,21977.0,692,2
33182,11.71,12000,0,18.78,0,0,1,3195.0,14469.0,697,9
62403,15.31,6000,0,20.05,0,1,0,4891.67,10391.0,672,3
48808,7.9,10000,0,26.09,0,0,1,2916.67,15957.0,722,10
76404,14.33,14675,0,26.92,0,0,1,3150.0,7246.0,687,8
15867,6.91,7000,0,7.1,0,0,1,5000.0,7612.0,717,3
94971,19.72,2000,0,10.29,0,0,1,3575.0,12036.0,672,6
36911,14.27,10625,0,12.54,1,0,0,4250.0,10767.0,667,0
53853,7.62,9600,0,3.45,0,0,1,11250.0,4606.0,727,0
62127,12.12,10000,0,17.72,0,0,1,9000.0,20317.0,697,7
44987,9.76,10000,0,7.13,0,0,1,2733.33,6112.0,732,3
99483,19.05,30000,1,21.25,1,0,0,6250.0,34927.0,697,6
28798,17.99,6500,1,19.63,0,0,1,4100.0,11697.0,667,2
24168,11.99,17400,0,12.47,0,0,1,6833.33,26587.0,697,7
10356,16.82,4000,1,13.71,1,0,0,4500.0,20804.0,672,3
46027,7.9,7200,0,24.82,0,0,1,5416.67,12017.0,707,7
2238,14.42,8000,0,24.63,0,0,1,2964.17,8928.0,677,6
65278,15.31,8000,0,15.46,1,0,0,2916.67,7152.0,677,5
4227,8.59,3000,0,3.72,1,0,0,4167.0,7074.0,767,5
50182,7.9,14500,0,4.85,1,0,0,3958.33,9598.0,762,4
87023,21.0,23850,1,28.81,1,0,0,5833.33,25968.0,687,9
46120,12.12,14000,0,14.93,1,0,0,10583.33,35457.0,687,2
94582,15.8,16000,1,11.94,0,0,1,5250.0,154.0,687,3
39591,7.9,7200,0,7.98,0,0,1,5666.67,8783.0,722,3
78862,7.62,20125,0,4.29,1,0,0,3750.0,73952.0,832,1
98029,17.27,3200,0,8.36,1,0,0,2500.0,6619.0,672,3
95579,11.14,12725,0,22.15,0,0,1,4416.67,4079.0,722,3
4868,19.13,5500,0,3.58,0,0,1,12000.0,0.0,662,8
26822,21.74,15650,0,13.86,0,0,1,3700.0,10605.0,662,4
98445,17.27,9000,0,25.22,0,0,1,5166.67,5852.0,677,10
14958,11.86,5000,0,4.0,0,0,1,5577.0,1069.0,717,1
14754,10.38,3000,0,15.21,0,0,1,3083.33,3098.0,712,2
26888,7.49,5450,1,2.48,1,0,0,4600.0,4326.0,787,10
81759,12.12,14000,0,11.38,1,0,0,4500.0,18583.0,707,5
16667,17.44,3000,0,15.79,0,0,1,7952.0,12578.0,662,8
92046,17.27,32000,1,15.61,0,0,1,9250.0,32566.0,702,2
88279,21.49,22250,1,28.87,0,0,1,4166.67,14107.0,667,9
82406,11.14,16450,0,7.57,0,0,1,7500.0,2928.0,727,1
17143,12.98,2500,0,16.45,0,0,1,1100.0,5019.0,672,4
27486,9.99,6000,0,7.5,1,0,0,2625.0,5167.0,717,10
96613,14.33,27575,0,19.63,1,0,0,5166.67,8720.0,692,10
6263,8.59,1000,0,10.69,0,1,0,4583.33,17069.0,757,0
29283,11.49,12000,0,12.85,0,0,1,2708.33,12150.0,707,0
99766,10.16,30000,0,22.21,1,0,0,8000.0,33218.0,717,10
85893,14.33,13500,0,31.7,0,0,1,4166.67,31168.0,682,1
98972,15.8,9000,0,22.65,1,0,0,3250.0,16480.0,667,3
44054,9.91,15000,0,9.16,1,0,0,4250.0,11615.0,732,10
51948,7.9,5300,0,12.82,0,0,1,5500.0,9996.0,727,1
48676,13.11,7000,0,16.76,0,0,1,3650.0,6444.0,687,5
71489,14.09,8000,0,12.06,0,0,1,5000.0,15360.0,697,6
48319,8.9,7500,0,10.02,0,0,1,5500.0,2382.0,717,6
83768,17.27,12000,0,14.86,0,1,0,4583.33,9145.0,667,10
88084,15.31,6000,0,15.91,0,0,1,3833.33,5760.0,672,10
9664,6.76,4500,0,14.74,1,0,0,2666.67,2705.0,792,7
1494,10.83,1600,0,5.36,0,0,1,2427.0,7020.0,702,3
61703,17.77,10000,0,30.4,0,1,0,2500.0,8379.0,667,8
21993,13.06,7450,0,3.3,1,0,0,5883.33,6416.0,712,10
58359,7.62,3225,0,17.79,1,0,0,5833.33,70323.0,762,10
67335,17.77,23675,0,29.94,0,1,0,6399.0,21920.0,682,10
57080,12.12,12000,0,18.62,0,0,1,5833.33,18838.0,692,10
30035,16.49,25000,0,18.18,0,0,1,6000.0,10630.0,697,7
67158,14.09,10000,0,21.45,0,0,1,4583.33,8548.0,677,6
33777,7.51,6000,0,2.52,1,0,0,4800.0,1442.0,752,10
59724,13.11,6000,0,15.33,0,0,1,3333.33,12503.0,687,2
95096,16.29,7925,0,21.25,0,0,1,2000.0,7840.0,667,6
13216,14.35,6000,0,14.08,1,0,0,2500.0,3621.0,677,0
53271,6.62,7000,0,8.03,1,0,0,10000.0,6761.0,752,6
25380,5.99,4500,0,18.48,1,0,0,10000.0,17863.0,767,6
6987,11.14,12000,0,2.37,1,0,0,12500.0,10944.0,737,5
96413,19.72,10375,0,4.99,0,0,1,4166.67,6122.0,667,5
88273,18.75,4800,0,10.89,1,0,0,5833.33,17943.0,672,10
48519,13.11,6400,0,11.46,1,0,0,4666.67,8942.0,702,10
69456,7.9,5000,0,17.22,0,1,0,4000.0,6023.0,707,10
41198,6.62,12000,0,21.66,0,0,1,5250.0,20639.0,742,0
34122,10.65,15000,0,16.15,1,0,0,7083.33,338.0,722,9
98634,6.03,20000,0,18.67,1,0,0,14583.33,29044.0,717,7
82476,14.09,10000,0,10.59,0,0,1,2916.67,10390.0,692,0
67263,14.09,18825,0,13.08,0,0,1,4000.0,20694.0,712,4
18452,6.17,4000,0,15.0,0,0,1,4234.0,587.0,747,2
57866,13.99,5750,0,12.44,0,0,1,5000.0,12465.0,662,10
77151,15.8,20950,0,15.71,1,0,0,12916.67,30188.0,692,4
25405,10.99,8000,0,14.76,0,0,1,7500.0,7120.0,712,0
85686,14.09,10000,0,14.76,0,0,1,5000.0,4762.0,677,4
54649,6.03,14000,0,19.53,1,0,0,6000.0,4140.0,767,8
19069,7.66,5000,0,3.33,0,0,1,9000.0,12297.0,737,10
74479,19.05,25000,1,10.53,1,0,0,6250.0,15159.0,702,9
76693,8.9,35000,0,14.62,0,0,1,10416.67,21321.0,737,10
32008,8.49,14000,1,9.89,1,0,0,9000.0,23773.0,762,4
80638,19.72,25000,1,32.1,0,1,0,4916.67,35208.0,697,7
36889,14.65,10800,0,7.89,0,0,1,9583.33,6487.0,677,0
72169,14.33,20000,0,21.44,1,0,0,6250.0,14268.0,702,9
59117,9.76,1400,0,27.14,1,0,0,4683.33,6466.0,732,2
15427,16.32,7500,0,12.54,1,0,0,4600.0,6120.0,667,2
85618,14.09,5000,0,29.02,1,0,0,5416.67,3977.0,682,0
19328,16.4,7500,0,13.34,0,0,1,4166.67,7430.0,662,0
20263,5.79,10000,0,6.49,1,0,0,12500.0,75629.0,747,1
9194,9.88,3200,0,6.51,0,0,1,4500.0,3198.0,742,5
27520,15.99,5500,1,17.95,0,0,1,4250.0,13256.0,702,10
69242,23.28,18000,1,9.05,0,0,1,7083.33,13106.0,662,10
48662,13.11,8800,0,16.73,0,0,1,3150.25,14266.0,702,4
65775,11.14,7000,0,23.02,1,0,0,6000.0,19634.0,707,6
92773,13.11,8000,0,19.01,0,0,1,2625.0,7554.0,727,5
81950,14.33,11625,0,22.84,1,0,0,2833.33,27411.0,707,8
84215,21.49,30000,0,16.7,1,0,0,12500.0,19096.0,672,9
93352,8.9,16000,0,19.71,0,0,1,7083.33,6185.0,722,4
103874,13.98,10000,1,14.86,0,0,1,3916.67,5188.0,712,4
5169,11.48,6000,0,18.2,1,0,0,5031.67,50935.0,707,10
29812,13.49,8000,0,14.92,0,0,1,5000.0,4786.0,687,2
56991,18.25,15000,0,9.73,1,0,0,5000.0,14596.0,662,8
62537,17.77,7000,0,32.25,0,0,1,3333.33,35604.0,667,7
22858,6.92,8400,0,13.3,0,0,1,3000.0,6998.0,747,1
78602,7.9,15000,0,18.62,1,0,0,4500.0,17212.0,742,7
87504,10.16,2800,0,12.0,0,0,1,2083.33,7261.0,697,0
92105,16.29,7750,0,26.74,1,0,0,2916.67,17102.0,682,5
59387,8.9,4500,0,18.18,0,0,1,2166.67,5361.0,702,4
62445,15.31,18000,1,4.93,0,0,1,5258.5,11596.0,712,10
24320,15.23,6000,0,19.57,0,1,0,4583.33,8077.0,667,1
96988,13.11,10000,0,7.56,0,0,1,2500.0,10906.0,687,7
47002,8.9,12000,0,12.46,0,0,1,5000.0,13940.0,727,10
53897,12.12,10000,0,18.4,1,0,0,5000.0,13202.0,687,10
59272,7.62,1200,0,8.69,1,0,0,3833.33,350.0,732,7
80512,11.14,2500,0,10.08,0,0,1,4333.33,4922.0,722,3
90748,7.9,16000,0,12.3,1,0,0,8416.67,21913.0,697,5
81914,10.16,5000,0,24.5,1,0,0,6250.0,33705.0,702,6
97954,19.05,4375,0,9.09,0,0,1,2916.67,6944.0,672,6
30600,16.89,12000,1,15.24,1,0,0,7500.0,28589.0,677,3
63340,18.49,7000,0,18.9,1,0,0,2000.0,7315.0,662,1
35313,12.69,20800,1,7.08,1,0,0,6541.67,13197.0,732,1
45225,13.11,19200,1,3.45,1,0,0,8333.33,50625.0,747,2
98090,15.8,22000,1,21.32,1,0,0,5416.67,10267.0,702,10
71142,19.05,15000,0,24.88,0,0,1,6000.0,12162.0,677,1
52333,8.9,20000,0,17.08,0,0,1,4916.67,14952.0,732,4
15274,6.17,2000,0,18.35,0,0,1,5733.58,21998.0,747,3
64690,14.09,6000,0,22.5,0,0,1,2666.67,5955.0,672,10
66605,15.8,5000,0,34.2,0,0,1,3750.0,5414.0,667,3
43053,7.9,16350,0,25.03,0,1,0,4541.67,25731.0,732,9
59192,7.9,20000,0,20.04,1,0,0,4625.0,31335.0,757,10
80538,12.12,12300,0,10.01,0,0,1,6583.33,12450.0,692,1
78519,13.11,4800,0,4.61,0,0,1,2666.67,7911.0,692,0
48236,7.9,14500,0,11.96,0,0,1,4500.0,16398.0,737,6
69446,14.09,22250,0,32.1,1,0,0,6583.33,44868.0,692,10
18161,14.09,8000,0,7.68,0,0,1,25000.0,28579.0,677,8
78856,17.77,8325,0,20.75,0,0,1,2000.0,7676.0,667,0
48412,13.11,14000,0,8.12,0,1,0,10416.67,4776.0,732,7
60192,10.16,9000,0,3.98,1,0,0,6000.0,5659.0,707,7
97275,13.11,16000,0,17.61,1,0,0,6083.33,15148.0,682,2
39722,10.65,24000,0,14.8,0,0,1,3750.0,24708.0,727,10
54880,15.31,16450,0,11.66,1,0,0,6666.67,12697.0,687,9
81508,12.12,7500,0,26.56,1,0,0,5000.0,9047.0,712,10
98671,22.47,4750,0,24.45,0,0,1,1333.33,4752.0,667,0
80765,7.9,6500,0,12.56,0,0,1,6750.0,33229.0,722,8
59041,6.03,9600,0,7.52,1,0,0,6250.0,765.0,752,0
34051,7.51,2000,0,16.73,0,0,1,1500.0,2925.0,732,4
99360,24.89,18000,1,14.88,0,0,1,4000.0,7377.0,667,8
79126,12.12,5825,0,4.0,0,1,0,3750.0,5643.0,692,1
103249,15.31,2500,0,22.81,0,0,1,2530.0,5276.0,672,0
43700,19.91,7200,1,2.0,0,0,1,5500.0,2130.0,662,9
83155,14.33,8000,0,11.85,0,0,1,3941.58,9660.0,672,2
94386,13.11,6250,0,28.61,0,0,1,1779.17,7455.0,722,3
49074,13.67,12375,0,22.42,1,0,0,2083.33,12226.0,682,3
88558,10.16,18000,0,16.71,1,0,0,6666.67,19850.0,687,6
31714,6.99,3300,0,20.04,0,0,1,3333.33,0.0,762,1
68991,18.49,21000,1,16.4,1,0,0,8833.33,29293.0,702,1
75034,16.29,24575,0,19.6,1,0,0,5250.0,20858.0,697,10
67649,16.29,20000,0,23.59,1,0,0,5833.33,12696.0,682,0
34983,6.62,13250,0,28.64,1,0,0,5750.0,7174.0,752,8
28402,8.49,10000,0,13.58,1,0,0,4166.67,8455.0,717,10
82112,12.12,12000,0,14.66,1,0,0,5000.0,13235.0,712,2
85220,10.16,4825,0,14.89,0,0,1,2400.0,6109.0,707,1
29422,16.89,7550,0,21.94,0,0,1,2880.0,1989.0,672,8
96028,14.09,6000,0,15.72,0,0,1,5083.33,10373.0,672,4
104202,15.57,8000,1,2.38,0,0,1,5291.67,1252.0,702,5
10096,14.59,3000,0,24.2,1,0,0,5000.0,5527.0,667,5
30184,5.99,8400,0,8.7,0,1,0,3000.0,6215.0,752,2
48402,14.65,35000,0,12.2,1,0,0,14166.67,103354.0,722,8
50781,7.9,15000,0,21.54,0,1,0,5000.0,21555.0,732,2
65889,7.62,6000,0,9.33,0,0,1,8315.67,6239.0,732,2
79217,17.77,29000,0,15.7,0,0,1,7666.67,23319.0,697,2
83672,15.31,20000,0,27.35,0,0,1,5250.0,11343.0,692,6
97016,10.16,7000,0,10.76,1,0,0,4341.67,13638.0,697,7
73664,17.27,6000,0,6.91,1,0,0,4025.67,6652.0,667,5
42222,15.27,10000,0,4.02,0,0,1,4480.0,7614.0,672,1
24026,17.49,3200,0,1.37,0,0,1,2917.0,1427.0,667,0
68139,17.77,23000,0,25.84,1,0,0,6625.0,19870.0,687,3
32974,12.69,3000,0,3.12,0,0,1,2083.33,844.0,717,3
82788,15.8,1200,0,27.14,0,0,1,2166.67,9076.0,667,3
22444,13.06,11000,0,22.42,1,0,0,7916.67,34314.0,692,0
95117,16.29,18000,0,17.62,1,0,0,5250.0,9379.0,672,5
35299,11.71,6000,0,21.45,0,0,1,3100.0,10426.0,687,2
84283,15.31,10000,0,27.71,0,0,1,3750.0,19385.0,682,3
83786,15.8,6000,0,7.94,0,0,1,5000.0,14784.0,672,10
85172,6.03,4000,0,13.03,0,0,1,2916.67,2860.0,752,5
41190,11.71,20000,1,10.98,1,0,0,5416.67,20836.0,747,10
57127,19.99,24000,1,3.48,0,0,1,8333.33,8224.0,692,5
70843,14.09,8000,0,14.31,0,0,1,3500.0,5074.0,692,4
73060,6.62,12000,0,13.88,1,0,0,7125.0,20639.0,777,5
88845,8.9,17600,0,16.58,1,0,0,4166.67,235.0,752,8
14556,18.67,8000,1,5.56,0,0,1,2500.0,5770.0,662,6
61042,6.62,16800,0,3.87,0,1,0,16083.33,13470.0,802,8
70987,7.9,35000,0,20.7,1,0,0,12083.33,28864.0,792,10
70752,14.33,9950,0,4.19,1,0,0,4800.0,5038.0,687,5
68413,19.05,10000,1,28.39,0,0,1,3726.67,10067.0,697,5
74613,13.11,6000,0,19.97,1,0,0,5833.33,5523.0,687,1
82673,7.9,35000,0,20.27,1,0,0,12083.33,35242.0,772,10
56341,7.9,5600,0,16.54,0,0,1,1916.67,3373.0,707,5
32601,7.9,17000,0,6.43,0,0,1,6250.0,1352.0,797,6
25674,12.99,15000,1,17.45,0,0,1,5666.67,10855.0,717,3
73376,11.14,3000,0,1.7,1,0,0,7750.0,874.0,687,10
89741,17.77,12000,0,9.86,0,0,1,3083.33,4390.0,667,4
33667,14.27,25000,0,14.59,1,0,0,9000.0,22364.0,707,7
77788,14.33,4750,1,23.48,0,0,1,1500.0,1687.0,742,0
36163,9.91,25000,0,15.38,0,0,1,5500.0,11395.0,732,3
27201,11.99,12000,1,4.3,1,0,0,3583.33,3942.0,757,2
60064,19.72,20000,0,13.74,1,0,0,7965.0,18809.0,667,7
39439,15.96,10000,0,13.09,0,0,1,4416.67,23870.0,667,10
98321,20.49,9750,0,10.55,0,0,1,3033.33,8688.0,662,4
61683,14.09,10000,0,15.02,1,0,0,6000.0,8178.0,687,8
81939,19.72,25000,1,1.31,1,0,0,5666.67,92.0,702,10
9885,14.22,5000,0,18.73,1,0,0,8583.0,8097.0,672,1
19235,5.79,6500,0,22.84,1,0,0,6400.0,7435.0,732,8
73893,15.31,8325,0,15.22,0,0,1,2916.67,7171.0,672,4
65788,15.31,20000,1,13.94,1,0,0,8333.33,22246.0,712,10
70001,12.12,12000,0,20.32,1,0,0,5166.67,10054.0,712,4
14355,11.49,7200,1,16.78,0,0,1,2944.0,5459.0,717,6
85461,10.16,8500,0,11.23,1,0,0,6091.83,10568.0,712,3
76503,19.05,17475,1,22.95,1,0,0,4583.33,15852.0,687,10
71743,12.12,10000,0,13.49,1,0,0,3113.83,6634.0,692,4
40840,7.9,5000,0,16.44,1,0,0,2298.75,12346.0,722,10
91018,15.31,12300,0,19.26,1,0,0,5000.0,4460.0,712,10
20772,11.11,1675,0,4.81,0,0,1,2080.0,1466.0,692,3
7006,17.04,7500,0,4.92,0,0,1,4000.0,8398.0,687,7
17832,12.61,9200,0,15.42,1,0,0,12833.33,17391.0,677,2
82746,15.8,8000,0,10.76,1,0,0,4583.33,4084.0,677,2
28147,10.99,5000,0,23.25,0,0,1,2000.0,8339.0,692,0
46059,18.25,19125,1,15.69,0,1,0,3333.33,7858.0,692,5
72582,12.12,5000,0,16.97,1,0,0,6800.0,25524.0,677,10
66149,10.16,4000,0,4.58,0,0,1,3168.0,6916.0,717,0
41523,7.9,16000,0,2.23,1,0,0,7083.33,3076.0,742,5
76858,17.77,15500,0,27.6,0,1,0,3333.33,8692.0,677,4
91738,13.11,16000,1,14.88,1,0,0,7916.67,22918.0,697,10
21508,13.06,9000,1,5.74,0,0,1,3678.08,7556.0,712,4
46748,22.78,30000,1,24.71,0,0,1,6041.67,39144.0,692,1
25426,10.59,10000,0,7.43,0,0,1,3833.33,10187.0,737,10
76810,19.05,14000,0,31.02,1,0,0,5000.0,12728.0,662,7
76324,15.31,18000,1,22.93,0,0,1,5734.08,2819.0,712,4
48235,6.62,10000,0,19.05,1,0,0,5208.33,28302.0,742,10
50533,13.11,25975,1,15.51,1,0,0,4583.33,3607.0,737,9
79478,14.09,10350,0,20.46,0,0,1,3333.33,10841.0,692,1
88920,17.77,10850,0,33.9,0,1,0,2708.33,9577.0,662,8
28663,5.42,4075,0,23.41,1,0,0,3750.0,34103.0,772,6
71249,10.16,12000,0,27.48,1,0,0,5000.0,10490.0,712,7
101208,13.11,5900,0,14.19,1,0,0,3010.0,5921.0,702,10
81822,6.03,7200,0,17.27,1,0,0,3416.67,4838.0,792,10
38540,16.77,14750,1,17.32,1,0,0,2500.0,11003.0,687,8
20785,14.91,20000,0,19.43,1,0,0,6250.0,14308.0,717,5
83841,12.12,8000,0,24.98,0,0,1,3166.67,5428.0,692,10
38903,8.9,4000,0,13.16,1,0,0,5166.67,7171.0,722,3
90332,13.11,6000,0,18.1,0,0,1,3750.0,14468.0,692,7
77035,14.09,5375,0,15.05,1,0,0,5416.67,4087.0,687,1
39792,10.65,7000,0,7.38,0,0,1,3333.33,12168.0,702,0
80904,15.31,12000,0,21.83,0,0,1,6416.67,11583.0,682,2
60688,18.75,21250,0,26.53,0,1,0,4500.0,25287.0,672,10
68301,19.72,3600,1,22.22,1,0,0,3200.0,11702.0,682,0
82419,14.33,12000,0,28.2,1,0,0,3333.33,10727.0,672,10
71540,14.33,10050,0,16.48,0,0,1,2500.0,13337.0,692,0
67109,8.9,4025,0,15.32,1,0,0,5000.0,15943.0,702,8
48352,6.62,5000,0,1.2,0,0,1,5000.0,531.0,782,2
22993,7.29,10000,0,7.94,1,0,0,5833.33,3181.0,737,8
50602,6.03,10000,0,24.66,1,0,0,2940.25,5904.0,757,10
52285,8.9,10000,0,22.66,0,0,1,2083.33,12724.0,717,9
77559,7.9,18000,0,18.36,0,0,1,5833.33,12522.0,732,0
98980,16.29,7000,0,24.93,1,0,0,3833.33,18792.0,682,3
53808,13.11,6000,0,12.4,0,0,1,1000.0,3622.0,687,1
32517,6.62,5600,0,7.23,1,0,0,5833.33,8125.0,752,2
82160,12.12,9500,0,24.06,1,0,0,2519.17,8673.0,707,10
47059,13.11,12000,0,17.51,1,0,0,9666.67,17226.0,682,5
19661,10.37,7200,0,8.92,1,0,0,4416.67,4137.0,677,2
89012,15.8,5000,0,25.53,0,0,1,6612.0,14283.0,667,10
55690,15.81,10075,1,23.8,1,0,0,6583.33,13259.0,702,1
66424,13.11,9050,0,20.58,1,0,0,5166.67,7571.0,702,7
98930,10.16,17500,0,23.64,1,0,0,3333.33,21483.0,702,8
66360,8.9,10000,0,20.1,0,0,1,2870.42,18802.0,717,3
63941,15.8,8500,0,17.4,0,0,1,2500.0,6491.0,692,1
76957,14.33,8000,0,27.34,0,0,1,3500.0,16395.0,687,7
78827,13.11,6000,0,16.75,1,0,0,4166.67,4500.0,672,0
65280,13.11,4000,0,11.8,0,0,1,5416.67,6616.0,687,1
79531,11.14,11500,0,18.0,0,0,1,2916.67,13851.0,717,5
42255,9.91,12000,0,4.1,0,0,1,12500.0,22889.0,707,9
21867,12.68,5000,0,9.2,0,0,1,3500.0,3555.0,697,1
73473,7.9,6000,0,20.75,0,0,1,3750.0,4318.0,717,10
56778,16.29,18225,1,22.61,0,0,1,3166.67,12233.0,712,4
10642,10.38,15000,0,16.87,1,0,0,6312.0,14339.0,737,2
92357,12.12,27000,1,17.82,1,0,0,7083.33,25137.0,717,8
77964,10.16,4950,0,16.75,0,0,1,1403.33,2738.0,727,2
57704,15.31,9000,0,15.88,0,0,1,5000.0,4532.0,677,10
86747,18.75,21000,1,31.71,1,0,0,9583.33,30589.0,697,10
56401,14.65,10000,0,16.68,1,0,0,8333.33,39461.0,682,4
88301,10.16,5350,0,16.45,1,0,0,11250.0,19184.0,732,8
40727,12.42,10000,0,9.77,0,0,1,3500.0,10912.0,707,2
91853,7.9,24000,0,13.55,1,0,0,7233.33,26039.0,707,0
59890,21.0,25000,0,9.52,0,0,1,8333.33,8575.0,672,10
47168,7.62,7550,0,14.61,1,0,0,2512.0,2814.0,732,5
77588,15.31,9600,0,33.24,0,0,1,3166.67,14774.0,687,2
71247,15.31,1000,0,29.45,1,0,0,2166.67,1748.0,667,6
80041,14.33,24000,0,25.49,1,0,0,11208.33,19428.0,727,10
78104,18.49,21000,1,21.73,0,0,1,16416.67,62549.0,702,1
59886,13.11,1000,0,30.71,0,0,1,1833.33,6283.0,672,3
22323,9.63,16000,1,16.58,0,1,0,5000.0,2300.0,782,10
40094,17.27,24400,1,15.98,0,0,1,6000.0,13879.0,727,3
75168,7.9,14675,0,17.4,1,0,0,3166.67,22549.0,722,10
79248,19.05,12000,0,19.61,1,0,0,4583.33,8970.0,662,10
47048,13.11,12000,0,8.05,1,0,0,3416.67,7708.0,687,4
75518,14.33,14500,0,17.97,0,0,1,3500.0,10846.0,682,6
54131,13.11,28625,1,21.31,1,0,0,4833.33,35863.0,742,5
70334,22.95,21000,1,6.52,1,0,0,20833.33,1240.0,672,10
55717,9.76,7500,1,14.96,1,0,0,7083.33,16449.0,782,10
86309,15.31,16000,0,20.1,0,0,1,5924.5,9365.0,697,10
74257,23.28,20500,1,24.85,0,0,1,4333.33,4699.0,662,5
39713,18.25,10000,0,24.14,0,0,1,6250.0,22828.0,667,1
26493,11.99,10000,0,21.89,1,0,0,3417.0,18069.0,682,4
32982,11.71,11000,0,7.8,0,1,0,3820.27,6844.0,687,2
101403,19.05,25000,1,28.46,0,0,1,5833.33,33127.0,692,1
99661,10.16,15000,0,26.75,1,0,0,7666.67,71879.0,677,5
67222,14.09,5600,0,26.35,0,0,1,3833.33,16163.0,667,5
41977,11.71,20000,0,15.2,0,0,1,4583.33,16575.0,722,5
91765,19.72,25450,1,33.75,0,1,0,4750.0,14435.0,667,10
11648,11.12,7000,0,9.06,0,0,1,6333.33,349.0,717,10
51810,12.12,10400,0,18.92,0,0,1,3333.33,11964.0,692,10
82744,7.9,15000,0,22.39,1,0,0,7500.0,18756.0,727,10
94041,19.72,24625,1,20.96,0,0,1,5166.67,20694.0,677,8
99568,13.11,21850,0,28.08,0,0,1,4166.67,20497.0,692,0
66550,15.31,6000,0,15.68,1,0,0,7500.0,5263.0,672,3
83847,15.31,5775,0,4.08,0,0,1,5000.0,10088.0,672,10
33997,15.27,14475,0,23.69,0,0,1,4166.67,13294.0,682,3
72499,17.27,8000,0,27.88,0,0,1,2833.33,9926.0,672,6
92186,12.12,15000,0,14.22,1,0,0,5416.67,9237.0,702,0
80094,17.77,10000,0,12.41,1,0,0,4166.67,31212.0,682,8
32684,13.49,5600,0,18.33,0,0,1,2870.33,5033.0,692,5
96564,14.09,13000,0,32.64,1,0,0,5000.0,15208.0,677,10
79363,12.12,2100,0,25.77,0,0,1,2555.16,21190.0,682,10
70571,12.12,12000,0,20.48,1,0,0,7666.67,5832.0,687,2
3660,13.16,1000,0,19.63,0,0,1,3500.0,11189.0,672,2
65335,14.09,16000,1,7.78,0,0,1,4166.67,4240.0,737,2
36283,7.9,14000,0,21.69,0,0,1,3162.25,13579.0,732,9
21789,10.74,7350,1,29.82,1,0,0,5000.0,15093.0,747,4
7967,7.14,7000,0,5.44,1,0,0,3807.64,7196.0,762,5
76489,12.12,6000,1,9.31,0,0,1,9583.33,27756.0,717,2
